COUNTRY,ConstructionClassDescription,ConstructionSchemeID,ConstructionClassCode
AD,Unknown,ATC,0
AD,Wood Frame,ATC,1
AD,Moment Steel Frame (Perimeter),ATC,10
AD,Moment Steel Frame (Distributed),ATC,11
AD,Ductile RC Frame (Distributed),ATC,12
AD,Non-Ductile RC Frame (Distributed),ATC,13
AD,Precast Concrete (Non Tilt-Up),ATC,14
AD,Long Span,ATC,15
AD,Tilt-Up,ATC,16
AD,Mobile Home,ATC,17
AD,Specially Engineered Facility,ATC,18
AD,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,ATC,19
AD,Light Metal,ATC,2
AD,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,ATC,20
AD,Major Bridges (> 500 ft. spans),ATC,21
AD,Pipelines - Underground,ATC,22
AD,Pipelines At Grade,ATC,23
AD,Concrete Dams,ATC,24
AD,Earthfill and Rockfill Dams,ATC,25
AD,Alluvium Tunnels,ATC,26
AD,Rock Tunnels,ATC,27
AD,Cut & Cover Tunnels,ATC,28
AD,Storage Tanks - Underground Liquid,ATC,29
AD,Unreinforced Masonry Wall,ATC,3
AD,Underground Solid Storage Tanks,ATC,30
AD,On Ground Liquid Storage Tanks,ATC,31
AD,On Ground Solid Storage Tanks,ATC,32
AD,Storage Tanks - Elevated Liquid,ATC,33
AD,Elevated Solid Storage Tanks,ATC,34
AD,Railroads (Track & Bed),ATC,35
AD,Highways,ATC,36
AD,Runways,ATC,37
AD,High Industrial Masonry Chimneys,ATC,38
AD,High Industrial Concrete Chimneys,ATC,39
AD,URM Wall with Frame,ATC,4
AD,High Industrial Steel Chimneys,ATC,40
AD,Cranes,ATC,41
AD,Conveyor Systems,ATC,42
AD,Transmission Towers (< 100 ft.),ATC,43
AD,Major (> 100 ft.) Electrical Transmission Line Towers,ATC,44
AD,Broadcast Towers,ATC,45
AD,Observation Towers,ATC,46
AD,Offshore Towers,ATC,47
AD,Canals,ATC,48
AD,Earth Retaining Structures (> 20 ft. high),ATC,49
AD,RC Shear Wall with Frame,ATC,5
AD,Waterfront Structures,ATC,50
AD,Residential Equipment,ATC,51
AD,Office Equipment,ATC,52
AD,Electrical Equipment,ATC,53
AD,Mechanical Equipment,ATC,54
AD,High Technology/Lab Equipment,ATC,55
AD,"Trains, Trucks, Airplanes",ATC,56
AD,RC Shear Wall without Frame,ATC,6
AD,RM Shear Wall,ATC,7
AD,RM Shear Wall with Frame,ATC,8
AD,Braced Steel Frame,ATC,9
AD,UNKNOWN,RMS,0
AD,WOOD,RMS,1
AD,Pipelines At Grade,RMS,10
AD,Concrete Dams,RMS,11
AD,Earthfill and Rockfill Dams,RMS,12
AD,Alluvium Tunnels,RMS,13
AD,Rock Tunnels,RMS,14
AD,Cut & Cover Tunnels,RMS,15
AD,Underground Liquid Storage Tanks,RMS,16
AD,Underground Solid Storage Tanks,RMS,17
AD,On Ground Liquid Storage Tanks,RMS,18
AD,On Ground Solid Storage Tanks,RMS,19
AD,Light Wood Frame,RMS,1A
AD,Light Wood Stud Walls,RMS,1A1
AD,Light Wood Post & Beam,RMS,1A2
AD,Heavy Timber,RMS,1B
AD,Heavy Timber Frame,RMS,1B1
AD,Heavy Timber Frame with Unreinforced Masonry Infill,RMS,1B2
AD,MASONRY,RMS,2
AD,Elevated Liquid Storage Tanks,RMS,20
AD,Elevated Solid Storage Tanks,RMS,21
AD,Railroad (Track and Bed),RMS,22
AD,Highways,RMS,23
AD,Runways,RMS,24
AD,High Industrial Masonry Chimneys,RMS,25
AD,High Industrial Concrete Chimneys,RMS,26
AD,High Industrial Steel Chimneys,RMS,27
AD,Cranes,RMS,28
AD,Conveyor Systems,RMS,29
AD,Weak Masonry,RMS,2A
AD,Rubble Stone Masonry,RMS,2A1
AD,Adobe,RMS,2A2
AD,Unreinforced Masonry,RMS,2B
AD,Unreinforced Cut Stone Masonry,RMS,2B1
AD,Unreinforced Solid Brick Masonry,RMS,2B2
AD,Unreinforced Concrete Block Masonry,RMS,2B3
AD,Structural Masonry,RMS,2C
AD,Reinforced Masonry,RMS,2C1
AD,Confined Masonry,RMS,2C2
AD,REINFORCED CONCRETE,RMS,3
AD,Conventional (< 100 ft.) Electrical Transmission Line Towers,RMS,30
AD,Major (> 100 ft.) Electrical Transmission Line Towers,RMS,31
AD,Broadcast Towers,RMS,32
AD,Observation Towers,RMS,33
AD,Offshore Towers,RMS,34
AD,Canals,RMS,35
AD,Earth Retaining Structures (> 20 ft. high),RMS,36
AD,Waterfront Structures,RMS,37
AD,Residential Equipment,RMS,38
AD,Office Equipment,RMS,39
AD,Cast-in-place Reinforced Concrete with Concrete Roof Deck,RMS,3A
AD,Reinforced Concrete Moment Resisting Frame,RMS,3A1
AD,RCMRF with Shear Walls,RMS,3A2
AD,RCMRF with Unreinforced Masonry Infill,RMS,3A3
AD,Reinforced Concrete Shear Wall,RMS,3A4
AD,Waffle or Flat Slab,RMS,3A5
AD,Steel & Reinforced Concrete Composite Frame,RMS,3A6
AD,Precast Reinforced Concrete with Concrete Roof Deck,RMS,3B
AD,Precast Moment Resisting Frame,RMS,3B1
AD,Precast MRF with Shear Walls,RMS,3B2
AD,Precast MRF with Unreinforced Masonry Infill,RMS,3B3
AD,Tilt-Up,RMS,3B4
AD,Precast Panel Bearing Wall,RMS,3B5
AD,Lift Slab,RMS,3B6
AD,STEEL,RMS,4
AD,Electrical Equipment,RMS,40
AD,Mechanical Equipment,RMS,41
AD,High Technology/Lab Equipment,RMS,42
AD,"Trains, Trucks, Airplanes",RMS,43
AD,Automobiles - Personal,RMS,44
AD,Automobiles - Dealers,RMS,45
AD,Steel Frame with Concrete Roof Deck,RMS,4A
AD,Steel Moment Resisting Frame,RMS,4A1
AD,Steel MRF with Shear Walls,RMS,4A2
AD,Steel MRF with Unreinforced Masonry Infill,RMS,4A3
AD,Concentrically Braced Steel Frame,RMS,4A4
AD,Eccentrically Braced Steel Frame,RMS,4A5
AD,Light Metal,RMS,4B
AD,Light Metal Frame,RMS,4B1
AD,Light Metal Frame with Unreinforced Masonry Infill,RMS,4B2
AD,MANUFACTURED/MOBILE HOME,RMS,5
AD,Manufactured/Mobile Home without Tie-Downs,RMS,5A
AD,Manufactured/Mobile Home with Tie-Downs,RMS,5B
AD,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,RMS,6
AD,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,RMS,7
AD,Major Bridges (> 500 ft. spans),RMS,8
AD,Underground Pipelines,RMS,9
AR,Unknown,ATC,0
AR,Wood Frame,ATC,1
AR,Moment Steel Frame (Perimeter),ATC,10
AR,Moment Steel Frame (Distributed),ATC,11
AR,Ductile RC Frame (Distributed),ATC,12
AR,Non-Ductile RC Frame (Distributed),ATC,13
AR,Precast Concrete (Non Tilt-Up),ATC,14
AR,Long Span,ATC,15
AR,Tilt-Up,ATC,16
AR,Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,ATC,19
AR,Light Metal,ATC,2
AR,Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,ATC,20
AR,Major Bridges (> 500 ft. spans),ATC,21
AR,Pipelines,ATC,22
AR,Concrete Dams,ATC,24
AR,Earthfill and Rockfill Dams,ATC,25
AR,Alluvium Tunnels,ATC,26
AR,Rock Tunnels,ATC,27
AR,Cut & Cover Tunnels,ATC,28
AR,Non-Elevated Tanks,ATC,29
AR,Unreinforced Masonry Wall,ATC,3
AR,Elevated Tanks,ATC,33
AR,Railroads (Track & Bed),ATC,35
AR,Highways,ATC,36
AR,Runways,ATC,37
AR,High Industrial Masonry Chimneys,ATC,38
AR,High Industrial Concrete Chimneys,ATC,39
AR,URM Wall with Frame,ATC,4
AR,High Industrial Steel Chimneys,ATC,40
AR,Cranes,ATC,41
AR,Conveyor Systems,ATC,42
AR,Electrical Transmission Line Towers and Broadcast Towers,ATC,43
AR,Canals,ATC,48
AR,Earth Retaining Structures (> 20 ft. high),ATC,49
AR,RC Shear Wall with Frame,ATC,5
AR,Waterfront Structures,ATC,50
AR,Residential Equipment,ATC,51
AR,Office Equipment,ATC,52
AR,Electrical Equipment,ATC,53
AR,Mechanical Equipment,ATC,54
