ConstructionClassDescription,ConstructionSchemeID,ConstructionClassCode
Unknown,ATC,0
Wood Frame,ATC,1
WOOD,RMS,1
Moment Steel Frame (Perimeter),ATC,10
Pipelines At Grade,RMS,10
Moment Steel Frame (Distributed),ATC,11
Concrete Dams,RMS,11
Ductile RC Frame (Distributed),ATC,12
Earthfill and Rockfill Dams,RMS,12
Non-Ductile RC Frame (Distributed),ATC,13
Alluvium Tunnels,RMS,13
Precast Concrete (Non Tilt-Up),ATC,14
Rock Tunnels,RMS,14
Long Span,ATC,15
Cut & Cover Tunnels,RMS,15
Tilt-Up,ATC,16
Underground Liquid Storage Tanks,RMS,16
Mobile Home,ATC,17
Underground Solid Storage Tanks,RMS,17
Specially Engineered Facility,ATC,18
On Ground Liquid Storage Tanks,RMS,18
Conventional Bridges (< 500 ft. spans) w/ Multiple Simple Spans,ATC,19
On Ground Solid Storage Tanks,RMS,19
Light Wood Frame,RMS,1A
Light Wood Stud Walls,RMS,1A1
Light Wood Post & Beam,RMS,1A2
Light Wood Stud Walls with Brick Masonry Veneer,RMS,1A3
Heavy Timber,RMS,1B
Heavy Timber Frame,RMS,1B1
Heavy Timber Frame with Unreinforced Masonry Infill,RMS,1B2
Light Metal,ATC,2
MASONRY,RMS,2
Conventional Bridges (< 500 ft. spans) w/ Monolithic Spans,ATC,20
Elevated Liquid Storage Tanks,RMS,20
Major Bridges (> 500 ft. spans),ATC,21
Elevated Solid Storage Tanks,RMS,21
Underground Pipelines,ATC,22
Railroads (Track & Bed),RMS,22
Pipelines At Grade,ATC,23
Highways,RMS,23
Concrete Dams,ATC,24
Runways,RMS,24
Earthfill and Rockfill Dams,ATC,25
High Industrial Masonry Chimneys,RMS,25
Alluvium Tunnels,ATC,26
High Industrial Concrete Chimneys,RMS,26
Rock Tunnels,ATC,27
High Industrial Steel Chimneys,RMS,27
Cut & Cover Tunnels,ATC,28
Cranes,RMS,28
Underground Liquid Storage Tanks,ATC,29
Conveyor Systems,RMS,29
Weak Masonry,RMS,2A
Rubble Stone Masonry,RMS,2A1
Adobe,RMS,2A2
Reinforced Adobe,RMS,2A3
