COUNTRY,OccupancyClassDescription,OccupancySchemeID,OccupancyClassCode
AD,Heavy Industrial - Mining,RMS IND,1001
AD,Heavy Industrial - Cement,RMS IND,1011
AD,Heavy Industrial - Steel,RMS IND,1021
AD,Heavy Industrial - Pulp & Paper,RMS IND,1031
AD,Heavy Industrial - Glass,RMS IND,1041
AD,Heavy Industrial - General,RMS IND,1051
AD,Chemical Processing - Primarily Outdoor,RMS IND,2001
AD,Chemical Processing - Primarily Indoor,RMS IND,2011
AD,Light Industrial - Electronics,RMS IND,3001
AD,Light Industrial - Pharmaceutical,RMS IND,3011
AD,Light Industrial - Biomedical,RMS IND,3021
AD,Light Industrial - Semiconductor,RMS IND,3031
AD,Light Industrial - General Assembly,RMS IND,3041
AD,Light Industrial - General Manufacturing,RMS IND,3051
AD,Light Industrial - Technological Risk,RMS IND,3061
AD,Petrochemical - Refineries,RMS IND,4001
AD,Petrochemical - Pipelines,RMS IND,4011
AD,Petrochemical - Pipelines below ground,RMS IND,4021
AD,Petrochemical - Tank farms,RMS IND,4031
AD,Electric Power Generation - Fossil Fuel (Small),RMS IND,5001
AD,Electric Power Generation - Fossil Fuel (Medium),RMS IND,5002
AD,Electric Power Generation - Fossil Fuel (Large),RMS IND,5003
AD,Electric Power Generation - Hydroelectric,RMS IND,5011
AD,Electric Power Generation - Co-Generation (Small),RMS IND,5021
AD,Electric Power Generation - Co-Generation (Medium),RMS IND,5022
AD,Electric Power Generation - Co-Generation (Large),RMS IND,5023
AD,Electric Power Generation - Gas Power (Small),RMS IND,5031
AD,Electric Power Generation - Gas Power (Mid),RMS IND,5032
AD,Electric Power Generation - Gas Power (Large),RMS IND,5033
AD,Electric Power - T&D,RMS IND,6001
AD,Electric Power - Substations (Small),RMS IND,6011
AD,Electric Power - Substations (Mid),RMS IND,6012
AD,Electric Power - Substations (Large),RMS IND,6013
AD,Electric Power - Nuclear power plant,RMS IND,6021
AD,Electric Power - Wind Farms (Small),RMS IND,6031
AD,Electric Power - Wind Farms (Mid),RMS IND,6032
AD,Electric Power - Wind Farms (Large),RMS IND,6033
AD,Electric Power - Solar Farms (Small),RMS IND,6041
AD,Electric Power - Solar Farms (Mid),RMS IND,6042
AD,Electric Power - Solar Farms (Large),RMS IND,6043
AD,Natural Gas,RMS IND,7001
AD,Food & Beverage,RMS IND,7011
AD,Data Processing/Telecommunications,RMS IND,7021
AD,Communications,RMS IND,7031
AD,Ports & Harbors,RMS IND,7041
AD,"Dams, Reservoirs only",RMS IND,7051
AD,Water/Sewage treatment plants,RMS IND,7061
AD,Mechanical,RMS IND,7071
AD,Airport (Small),RMS IND,7081
AD,Airport (Mid),RMS IND,7082
AD,Airport (Large),RMS IND,7083
AR,Heavy Industrial - Mining,RMS IND,1001
AR,Heavy Industrial - Cement,RMS IND,1011
AR,Heavy Industrial - Steel,RMS IND,1021
AR,Heavy Industrial - Pulp & Paper,RMS IND,1031
AR,Heavy Industrial - Glass,RMS IND,1041
AR,Heavy Industrial - General,RMS IND,1051
AR,Chemical Processing - Primarily Outdoor,RMS IND,2001
AR,Chemical Processing - Primarily Indoor,RMS IND,2011
AR,Light Industrial - Electronics,RMS IND,3001
AR,Light Industrial - Pharmaceutical,RMS IND,3011
AR,Light Industrial - Biomedical,RMS IND,3021
AR,Light Industrial - Semiconductor,RMS IND,3031
AR,Light Industrial - General Assembly,RMS IND,3041
AR,Light Industrial - General Manufacturing,RMS IND,3051
AR,Light Industrial - Technological Risk,RMS IND,3061
AR,Petrochemical - Refineries,RMS IND,4001
AR,Petrochemical - Pipelines,RMS IND,4011
AR,Petrochemical - Pipelines below ground,RMS IND,4021
AR,Petrochemical - Tank farms,RMS IND,4031
AR,Electric Power Generation - Fossil Fuel (Small),RMS IND,5001
AR,Electric Power Generation - Fossil Fuel (Mid),RMS IND,5002
AR,Electric Power Generation - Fossil Fuel (Large),RMS IND,5003
AR,Electric Power Generation - Hydroelectric,RMS IND,5011
AR,Electric Power Generation - Co-Generation (Small),RMS IND,5021
AR,Electric Power Generation - Co-Generation (Mid),RMS IND,5022
AR,Electric Power Generation - Co-Generation (Large),RMS IND,5023
AR,Electric Power Generation - Gas Power (Small),RMS IND,5031
AR,Electric Power Generation - Gas Power (Mid),RMS IND,5032
AR,Electric Power Generation - Gas Power (Large),RMS IND,5033
AR,Electric Power - T&D,RMS IND,6001
AR,Electric Power - Substations (Small),RMS IND,6011
AR,Electric Power - Substations (Mid),RMS IND,6012
AR,Electric Power - Substations (Large),RMS IND,6013
AR,Electric Power - Nuclear power plant,RMS IND,6021
AR,Electric Power - Wind Farms (Small),RMS IND,6031
AR,Electric Power - Wind Farms (Mid),RMS IND,6032
AR,Electric Power - Wind Farms (Large),RMS IND,6033
AR,Electric Power - Solar Farms (Small),RMS IND,6041
AR,Electric Power - Solar Farms (Mid),RMS IND,6042
AR,Electric Power - Solar Farms (Large),RMS IND,6043
AR,Natural Gas,RMS IND,7001
AR,Food & Beverage,RMS IND,7011
AR,Data Processing/Telecommunications,RMS IND,7021
